1 1 Pilot |7 Oct. 2014| 8.501234567891
1 2 |Fastest Man Alive| |14 Oct. 2014| 8.301234567891
1 3 |Things You Can't Outrun| |21 Oct. 2014| 8.101234567891
1 4 |Going Rogue| |28 Oct. 2014| 8.601234567891
1 5 Plastique |11 Nov. 2014| 8.101234567891
1 6 |The Flash Is Born| |18 Nov. 2014| 8.401234567891
1 7 |Power Outage| |25 Nov. 2014| 8.501234567891
1 8 |Flash vs. Arrow| |2 Dec. 2014| 9.301234567891
1 9 |The Man in the Yellow Suit| |9 Dec. 2014| 9.401234567891
1 10 |Revenge of the Rogues| |20 Jan. 2015| 8.301234567891
1 11 |The Sound and the Fury| |27 Jan. 2015| 8.301234567891
1 12 |Crazy for You| |3 Feb. 2015| 8.401234567891
1 13 |The Nuclear Man| |10 Feb. 2015| 8.701234567891
1 14 Fallout |17 Feb. 2015| 8.901234567891
1 15 |Out of Time| |17 Mar. 2015| 9.701234567891
1 16 |Rogue Time| |24 Mar. 2015| 8.501234567891
1 17 Tricksters |31 Mar. 2015| 9.101234567891
1 18 |All Star Team Up| |14 Apr. 2015| 8.301234567891
1 19 |Who Is Harrison Wells?| |21 Apr. 2015| 9.101234567891
1 20 |The Trap| |28 Apr. 2015| 9.401234567891
1 21 |Grodd Lives| |5 May. 2015| 8.501234567891
1 22 |Rogue Air| |12 May. 2015| 9.101234567891
1 23 |Fast Enough| |19 May. 2015| 9.601234567891
2 1 |The Man Who Saved Central City| |6 Oct. 2015| 8.301234567891
2 2 |Flash of Two Worlds| |13 Oct. 2015| 8.701234567891
2 3 |Family of Rogues| |20 Oct. 2015| 8.401234567891
2 4 |The Fury of Firestorm| |27 Oct. 2015| 8.401234567891
2 5 |The Darkness and the Light| |3 Nov. 2015| 8.801234567891
2 6 |Enter Zoom| |10 Nov. 2015| 9.401234567891
2 7 |Gorilla Warfare| |17 Nov. 2015| 8.301234567891
2 8 |Legends of Today| |1 Dec. 2015| 9.101234567891
2 9 |Running to Stand Still| |8 Dec. 2015| 8.601234567891
2 10 |Potential Energy| |19 Jan. 2016| 8.201234567891
2 11 |The Reverse-Flash Returns| |26 Jan. 2016| 8.801234567891
2 12 |Fast Lane| |2 Feb. 2016| 8.201234567891
2 13 |Welcome to Earth-2| |9 Feb. 2016| 9.301234567891
2 14 |Escape from Earth-2| |16 Feb. 2016| 9.101234567891
2 15 |King Shark| |23 Feb. 2016| 8.501234567891
2 16 Trajectory |22 Mar. 2016| 8.201234567891
2 17 |Flash Back| |29 Mar. 2016| 9.101234567891
2 18 |Versus Zoom| |19 Apr. 2016| 8.201234567891
2 19 |Back to Normal| |26 Apr. 2016| 7.501234567891
2 20 Rupture |3 May. 2016| 8.901234567891
2 21 |The Runaway Dinosaur| |10 May. 2016| 8.801234567891
2 22 Invincible |17 May. 2016| 9.001234567891
2 23 |The Race of His Life| |24 May. 2016| 9.101234567891
3 1 Flashpoint |4 Oct. 2016| 8.501234567891
3 2 Paradox |11 Oct. 2016| 8.501234567891
3 3 Magenta |18 Oct. 2016| 7.801234567891
3 4 |The New Rogues| |25 Oct. 2016| 8.201234567891
3 5 Monster |1 Nov. 2016| 7.601234567891
3 6 Shade |15 Nov. 2016| 8.501234567891
3 7 |Killer Frost| |22 Nov. 2016| 8.801234567891
3 8 Invasion! |29 Nov. 2016| 9.201234567891
3 9 |The Present| |6 Dec. 2016| 8.801234567891
3 10 |Borrowing Problems from the Future| |24 Jan. 2017| 8.101234567891
3 11 |Dead or Alive| |31 Jan. 2017| 8.001234567891
3 12 Untouchable |7 Feb. 2017| 7.901234567891
3 13 |Attack on Gorilla City| |21 Feb. 2017| 8.001234567891
3 14 |Attack on Central City| |28 Feb. 2017| 7.901234567891
3 15 |The Wrath of Savitar| |7 Mar. 2017| 8.701234567891
3 16 |Into the Speed Force| |14 Mar. 2017| 8.001234567891
3 17 Duet |21 Mar. 2017| 6.001234567891
3 18 |Abra Kadabra| |28 Mar. 2017| 8.001234567891
3 19 |The Once and Future Flash| |25 Apr. 2017| 8.701234567891
3 20 |I Know Who You Are| |2 May. 2017| 9.001234567891
3 21 |Cause and Effect| |9 May. 2017| 8.201234567891
3 22 |Infantino Street| |16 May. 2017| 9.101234567891
3 23 |Finish Line| |23 May. 2017| 7.701234567891
4 1 |The Flash Reborn| |10 Oct. 2017| 7.501234567891
4 2 |Mixed Signals| |17 Oct. 2017| 7.401234567891
4 3 |Luck Be a Lady| |24 Oct. 2017| 7.501234567891
4 4 |Elongated Journey Into Night| |31 Oct. 2017| 8.301234567891
4 5 |Girls Night Out| |7 Nov. 2017| 5.201234567891
4 6 |When Harry Met Harry...| |14 Nov. 2017| 7.201234567891
4 7 |Therefore I Am| |21 Nov. 2017| 8.701234567891
4 8 |Crisis on Earth-X  Part 3| |28 Nov. 2017| 8.701234567891
4 9 |Don't Run| |5 Dec. 2017| 8.601234567891
4 10 |The Trial of The Flash| |16 Jan. 2018| 8.301234567891
4 11 |The Elongated Knight Rises| |23 Jan. 2018| 7.801234567891
4 12 |Honey  I Shrunk Team Flash| |30 Jan. 2018| 8.001234567891
4 13 |True Colors| |6 Feb. 2018| 8.101234567891
4 14 |Subject 9| |27 Feb. 2018| 7.401234567891
4 15 |Enter Flashtime| |6 Mar. 2018| 9.001234567891
4 16 |Run  Iris  Run| |13 Mar. 2018| 5.401234567891
4 17 |Null and Annoyed| |10 Apr. 2018| 7.101234567891
4 18 |Lose Yourself| |17 Apr. 2018| 8.201234567891
4 19 |Fury Rogue| |24 Apr. 2018| 7.601234567891
4 20 |Therefore She Is| |1 May. 2018| 7.701234567891
4 21 |Harry and the Harrisons| |8 May. 2018| 6.601234567891
4 22 |Think Fast| |15 May. 2018| 8.001234567891
4 23 |We Are the Flash| |22 May. 2018| 7.901234567891
5 1 Nora |9 Oct. 2018| 8.201234567891
5 2 Blocked |16 Oct. 2018| 7.801234567891
5 3 |The Death of Vibe| |23 Oct. 2018| 8.201234567891
5 4 |News Flash| |30 Oct. 2018| 7.501234567891
5 5 |All Doll'd Up| |13 Nov. 2018| 7.701234567891
5 6 |The Icicle Cometh| |20 Nov. 2018| 7.801234567891
5 7 |O Come  All Ye Thankful| |27 Nov. 2018| 7.701234567891
5 8 |What's Past Is Prologue| |4 Dec. 2018| 9.201234567891
5 9 |Elseworlds  Part 1| |9 Dec. 2018| 9.201234567891
5 10 |The Flash & the Furious| |15 Jan. 2019| 7.301234567891
5 11 |Seeing Red| |22 Jan. 2019| 7.501234567891
5 12 Memorabilia |29 Jan. 2019| 8.001234567891
5 13 Goldfaced |5 Feb. 2019| 7.601234567891
5 14 |Cause and XS| |12 Feb. 2019| 8.101234567891
5 15 |King Shark vs. Gorilla Grodd| |5 Mar. 2019| 8.001234567891
5 16 |Failure Is an Orphan| |12 Mar. 2019| 8.201234567891
5 17 |Time Bomb| |19 Mar. 2019| 8.401234567891
5 18 Godspeed |16 Apr. 2019| 8.601234567891
5 19 |Snow Pack| |23 Apr. 2019| 7.701234567891
5 20 |Gone Rogue| |30 Apr. 2019| 7.201234567891
5 21 |The Girl with the Red Lightning| |7 May. 2019| 8.001234567891
5 22 Legacy |14 May. 2019| 8.801234567891
6 1 |Into the Void| |8 Oct. 2019| 7.701234567891
6 2 |A Flash of the Lightning| |15 Oct. 2019| 8.001234567891
6 3 |Dead Man Running| |22 Oct. 2019| 7.601234567891
6 4 |There Will Be Blood| |29 Oct. 2019| 7.801234567891
6 5 |Kiss Kiss Breach Breach| |5 Nov. 2019| 7.701234567891
6 6 |License to Elongate| |19 Nov. 2019| 7.601234567891
6 7 |The Last Temptation of Barry Allen  Pt. 1| |26 Nov. 2019| 8.801234567891
6 8 |The Last Temptation of Barry Allen  Pt. 2| |3 Dec. 2019| 8.201234567891
6 9 |Crisis on Infinite Earths: Part Three| |10 Dec. 2019| 9.001234567891
6 10 Marathon |4 Feb. 2020| 7.101234567891
6 11 |Love Is a Battlefield| |11 Feb. 2020| 4.901234567891
6 12 |A Girl Named Sue| |18 Feb. 2020| 7.201234567891
6 13 |Grodd Friended Me| |25 Feb. 2020| 8.001234567891
6 14 |Death of the Speed Force| |10 Mar. 2020| 8.301234567891
6 15 |The Exorcism of Nash Wells| |17 Mar. 2020| 8.001234567891
6 16 |So Long and Goodnight| |21 Apr. 2020| 6.801234567891
6 17 Liberation |28 Apr. 2020| 8.001234567891
6 18 |Pay the Piper| |5 May. 2020| 7.601234567891
6 19 |Success Is Assured| |12 May. 2020| 7.301234567891
7 1 |Episode #7.1| |1 Jan. 2000| 0
